commune_code,commune,province,region,region_code,period,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation
6202,La Estrella,Cardenal Caro,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,20,73,29,453.156,292.87,16.63,198.712,148.89,tile averages weighted by tile test count
6203,Litueche,Cardenal Caro,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,57,207,74,245.392,110.89,20.444,190.309,191.159,tile averages weighted by tile test count
6204,Marchigüe,Cardenal Caro,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,35,153,47,204.344,97.137,19.582,153.922,259.395,tile averages weighted by tile test count
6205,Navidad,Cardenal Caro,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,61,282,102,315.474,233.59,15.582,185.936,224.163,tile averages weighted by tile test count
6206,Paredones,Cardenal Caro,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,30,115,41,136.564,92.189,19.913,255.061,189.165,tile averages weighted by tile test count
6301,San Fernando,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,143,1787,615,387.923,320.148,7.378,219.176,277.713,tile averages weighted by tile test count
6302,Chépica,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,89,943,226,236.834,256.49,9.176,118.705,229.246,tile averages weighted by tile test count
6303,Chimbarongo,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,80,429,131,267.687,217.723,9.415,149.179,211.559,tile averages weighted by tile test count
6304,Lolol,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,44,242,82,223.227,182.362,14.112,219.967,211.901,tile averages weighted by tile test count
6305,Nancagua,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,54,238,119,284.209,242.495,8.231,179.256,262.601,tile averages weighted by tile test count
6306,Palmilla,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,71,347,103,232.799,202.933,12.954,227.879,429.303,tile averages weighted by tile test count
6307,Peralillo,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,52,349,87,211.659,156.041,11.67,137.163,237.04,tile averages weighted by tile test count
6308,Placilla,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,25,81,31,183.798,170.744,8.802,207.247,188.346,tile averages weighted by tile test count
6309,Pumanque,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,19,51,23,192.385,60.4,20.941,102.529,183.275,tile averages weighted by tile test count
6310,Santa Cruz,Colchagua,Región del Libertador Bernardo O'Higgins,6.0,2026Q2,fixed,102,908,290,323.699,300.103,9.859,200.873,248.078,tile averages weighted by tile test count
7101,Talca,Talca,Región del Maule,7.0,2026Q2,fixed,275,5967,2249,441.892,404.396,6.146,179.99,240.474,tile averages weighted by tile test count
7102,Constitución,Talca,Región del Maule,7.0,2026Q2,fixed,66,777,237,411.5,318.853,11.196,210.333,216.206,tile averages weighted by tile test count
7103,Curepto,Talca,Región del Maule,7.0,2026Q2,fixed,23,81,37,318.412,201.16,17.951,302.58,405.383,tile averages weighted by tile test count
7104,Empedrado,Talca,Región del Maule,7.0,2026Q2,fixed,3,6,5,442.551,411.303,5.0,503.0,696.167,tile averages weighted by tile test count
7105,Maule,Talca,Región del Maule,7.0,2026Q2,fixed,133,1673,503,370.193,338.916,6.925,130.45,189.176,tile averages weighted by tile test count
7106,Pelarco,Talca,Región del Maule,7.0,2026Q2,fixed,59,359,98,194.515,155.053,11.415,274.713,351.93,tile averages weighted by tile test count
7107,Pencahue,Talca,Región del Maule,7.0,2026Q2,fixed,31,96,38,277.611,239.965,17.615,199.344,161.333,tile averages weighted by tile test count
7108,Río Claro,Talca,Región del Maule,7.0,2026Q2,fixed,44,189,58,220.298,173.974,8.021,181.085,259.889,tile averages weighted by tile test count
7109,San Clemente,Talca,Región del Maule,7.0,2026Q2,fixed,170,963,328,329.415,260.472,15.072,152.64,204.203,tile averages weighted by tile test count
7110,San Rafael,Talca,Región del Maule,7.0,2026Q2,fixed,40,231,58,208.562,155.951,17.771,177.147,258.333,tile averages weighted by tile test count
7201,Cauquenes,Cauquenes,Región del Maule,7.0,2026Q2,fixed,79,784,271,375.143,321.695,12.376,228.966,203.241,tile averages weighted by tile test count
7202,Chanco,Cauquenes,Región del Maule,7.0,2026Q2,fixed,12,117,30,360.409,242.726,22.128,319.718,227.769,tile averages weighted by tile test count
7203,Pelluhue,Cauquenes,Región del Maule,7.0,2026Q2,fixed,30,194,49,373.16,259.367,13.495,221.351,363.062,tile averages weighted by tile test count
7301,Curicó,Curicó,Región del Maule,7.0,2026Q2,fixed,270,4299,1563,395.739,348.078,8.118,189.939,260.689,tile averages weighted by tile test count
7302,Hualañé,Curicó,Región del Maule,7.0,2026Q2,fixed,30,114,49,365.152,314.858,16.851,286.912,295.465,tile averages weighted by tile test count
7303,Licantén,Curicó,Región del Maule,7.0,2026Q2,fixed,28,259,49,500.714,389.467,6.668,245.757,245.166,tile averages weighted by tile test count
7304,Molina,Curicó,Región del Maule,7.0,2026Q2,fixed,116,1158,417,365.336,325.075,6.791,176.364,304.541,tile averages weighted by tile test count
7305,Rauco,Curicó,Región del Maule,7.0,2026Q2,fixed,31,125,67,321.804,259.715,16.824,278.344,275.328,tile averages weighted by tile test count
7306,Romeral,Curicó,Región del Maule,7.0,2026Q2,fixed,80,409,166,270.604,270.554,16.066,260.402,304.002,tile averages weighted by tile test count
7307,Sagrada Familia,Curicó,Región del Maule,7.0,2026Q2,fixed,73,343,125,221.733,203.764,6.711,158.478,327.376,tile averages weighted by tile test count
7308,Teno,Curicó,Región del Maule,7.0,2026Q2,fixed,151,641,234,241.45,213.086,13.349,185.361,261.786,tile averages weighted by tile test count
7309,Vichuquén,Curicó,Región del Maule,7.0,2026Q2,fixed,34,265,50,491.567,402.714,34.355,310.638,280.581,tile averages weighted by tile test count
7401,Linares,Linares,Región del Maule,7.0,2026Q2,fixed,231,2440,915,365.535,339.629,11.219,143.347,209.039,tile averages weighted by tile test count
7402,Colbún,Linares,Región del Maule,7.0,2026Q2,fixed,93,441,151,299.006,214.862,10.499,178.198,248.261,tile averages weighted by tile test count
7403,Longaví,Linares,Región del Maule,7.0,2026Q2,fixed,137,628,231,197.365,138.203,12.037,123.777,212.702,tile averages weighted by tile test count
7404,Parral,Linares,Región del Maule,7.0,2026Q2,fixed,87,867,313,309.918,265.26,9.773,159.157,243.81,tile averages weighted by tile test count
7405,Retiro,Linares,Región del Maule,7.0,2026Q2,fixed,76,392,162,223.793,191.411,6.694,119.426,232.696,tile averages weighted by tile test count
7406,San Javier,Linares,Región del Maule,7.0,2026Q2,fixed,87,1044,351,380.59,359.552,8.822,191.922,213.814,tile averages weighted by tile test count
