comuna,comuna_nombre,service_key,operator,network_role,record_count_intersecting,status
4301,Ovalle,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,272,ok
4301,Ovalle,entel_redacceso_primarias,Entel,RedAcceso_primarias,12,ok
4301,Ovalle,infraco_redacceso,Infraco,RedAcceso,3164,ok
4301,Ovalle,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,1968,ok
4302,Combarbalá,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4302,Combarbalá,claro_redacceso,Claro,RedAcceso,6,ok
4302,Combarbalá,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,34,ok
4302,Combarbalá,entel_redacceso_primarias,Entel,RedAcceso_primarias,2,ok
4302,Combarbalá,infraco_redacceso,Infraco,RedAcceso,0,ok
4302,Combarbalá,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4303,Monte Patria,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4303,Monte Patria,claro_redacceso,Claro,RedAcceso,10,ok
4303,Monte Patria,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,2,ok
4303,Monte Patria,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
4303,Monte Patria,infraco_redacceso,Infraco,RedAcceso,0,ok
4303,Monte Patria,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4304,Punitaqui,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4304,Punitaqui,claro_redacceso,Claro,RedAcceso,0,ok
4304,Punitaqui,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
4304,Punitaqui,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
4304,Punitaqui,infraco_redacceso,Infraco,RedAcceso,0,ok
4304,Punitaqui,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4305,Río Hurtado,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4305,Río Hurtado,claro_redacceso,Claro,RedAcceso,0,ok
4305,Río Hurtado,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
4305,Río Hurtado,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
4305,Río Hurtado,infraco_redacceso,Infraco,RedAcceso,0,ok
4305,Río Hurtado,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
5101,Valparaíso,claro_redacceso_hfc,Claro,RedAcceso_HFC,652,ok
5101,Valparaíso,claro_redacceso,Claro,RedAcceso,1744,ok
5101,Valparaíso,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,1078,ok
5101,Valparaíso,entel_redacceso_primarias,Entel,RedAcceso_primarias,201,ok
5101,Valparaíso,infraco_redacceso,Infraco,RedAcceso,8440,ok
5101,Valparaíso,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,105,ok
5102,Casablanca,claro_redacceso_hfc,Claro,RedAcceso_HFC,8,ok
5102,Casablanca,claro_redacceso,Claro,RedAcceso,0,ok
5102,Casablanca,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,50,ok
5102,Casablanca,entel_redacceso_primarias,Entel,RedAcceso_primarias,7,ok
5102,Casablanca,infraco_redacceso,Infraco,RedAcceso,0,ok
5102,Casablanca,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,369,ok
5103,Concón,claro_redacceso_hfc,Claro,RedAcceso_HFC,192,ok
5103,Concón,claro_redacceso,Claro,RedAcceso,145,ok
5103,Concón,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,213,ok
5103,Concón,entel_redacceso_primarias,Entel,RedAcceso_primarias,17,ok
5103,Concón,infraco_redacceso,Infraco,RedAcceso,1484,ok
5103,Concón,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,18,ok
