commune_code,commune,region,has_polygon
13604,Padre Hurtado,Metropolitana de Santiago,yes
13605,Peñaflor,Metropolitana de Santiago,yes
14101,Valdivia,Los Ríos,yes
14102,Corral,Los Ríos,yes
14103,Lanco,Los Ríos,yes
14104,Los Lagos,Los Ríos,yes
14105,Máfil,Los Ríos,yes
14106,Mariquina,Los Ríos,yes
14107,Paillaco,Los Ríos,yes
14108,Panguipulli,Los Ríos,yes
14201,La Unión,Los Ríos,yes
14202,Futrono,Los Ríos,yes
14203,Lago Ranco,Los Ríos,yes
14204,Río Bueno,Los Ríos,yes
15101,Arica,Arica y Parinacota,yes
15102,Camarones,Arica y Parinacota,yes
15201,Putre,Arica y Parinacota,yes
15202,General Lagos,Arica y Parinacota,yes
16101,Chillán,Ñuble,yes
16102,Bulnes,Ñuble,yes
16103,Chillán Viejo,Ñuble,yes
16104,El Carmen,Ñuble,yes
16105,Pemuco,Ñuble,yes
16106,Pinto,Ñuble,yes
16107,Quillón,Ñuble,yes
16108,San Ignacio,Ñuble,yes
16109,Yungay,Ñuble,yes
16201,Quirihue,Ñuble,yes
16202,Cobquecura,Ñuble,yes
16203,Coelemu,Ñuble,yes
16204,Ninhue,Ñuble,yes
16205,Portezuelo,Ñuble,yes
16206,Ránquil,Ñuble,yes
16207,Trehuaco,Ñuble,yes
16301,San Carlos,Ñuble,yes
16302,Coihueco,Ñuble,yes
16303,Ñiquén,Ñuble,yes
16304,San Fabián,Ñuble,yes
16305,San Nicolás,Ñuble,yes
