period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2013-09,2013,9,fixed_connections,fixed_connections_total,2288676,connections,7.1.CO_TOT_FIJAS,80
2013-09,2013,9,fixed_connections,penetration_per_100_inhabitants,13.000355,per_100_inhabitants,7.1.CO_TOT_FIJAS,80
2013-10,2013,10,fixed_connections,fixed_connections_total,2314409,connections,7.1.CO_TOT_FIJAS,81
2013-10,2013,10,fixed_connections,penetration_per_100_inhabitants,13.135281,per_100_inhabitants,7.1.CO_TOT_FIJAS,81
2013-11,2013,11,fixed_connections,fixed_connections_total,2313618,connections,7.1.CO_TOT_FIJAS,82
2013-11,2013,11,fixed_connections,penetration_per_100_inhabitants,13.119571,per_100_inhabitants,7.1.CO_TOT_FIJAS,82
2013-12,2013,12,fixed_connections,fixed_connections_total,2309572,connections,7.1.CO_TOT_FIJAS,83
2013-12,2013,12,fixed_connections,penetration_per_100_inhabitants,13.085445,per_100_inhabitants,7.1.CO_TOT_FIJAS,83
2014-01,2014,1,fixed_connections,fixed_connections_total,2308352,connections,7.1.CO_TOT_FIJAS,84
2014-01,2014,1,fixed_connections,penetration_per_100_inhabitants,13.066264,per_100_inhabitants,7.1.CO_TOT_FIJAS,84
2014-02,2014,2,fixed_connections,fixed_connections_total,2287815,connections,7.1.CO_TOT_FIJAS,85
2014-02,2014,2,fixed_connections,penetration_per_100_inhabitants,12.937881,per_100_inhabitants,7.1.CO_TOT_FIJAS,85
2014-03,2014,3,fixed_connections,fixed_connections_total,2352875,connections,7.1.CO_TOT_FIJAS,86
2014-03,2014,3,fixed_connections,penetration_per_100_inhabitants,13.293345,per_100_inhabitants,7.1.CO_TOT_FIJAS,86
2014-04,2014,4,fixed_connections,fixed_connections_total,2375672,connections,7.1.CO_TOT_FIJAS,87
2014-04,2014,4,fixed_connections,penetration_per_100_inhabitants,13.40959,per_100_inhabitants,7.1.CO_TOT_FIJAS,87
2014-05,2014,5,fixed_connections,fixed_connections_total,2391033,connections,7.1.CO_TOT_FIJAS,88
2014-05,2014,5,fixed_connections,penetration_per_100_inhabitants,13.483683,per_100_inhabitants,7.1.CO_TOT_FIJAS,88
2014-06,2014,6,fixed_connections,fixed_connections_total,2428592,connections,7.1.CO_TOT_FIJAS,89
2014-06,2014,6,fixed_connections,penetration_per_100_inhabitants,13.682702,per_100_inhabitants,7.1.CO_TOT_FIJAS,89
