dataset,sheet,row,values
mobile_traffic,9.1.TRAF_SENT,20, ||  || Mar || 90017.00115212006 || 6987.156485459988 || 97004.15763758005 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,21, ||  || Abr || 88889.97106270005 || 6928.309461020002 || 95818.28052372005 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,22, ||  || May || 97402.04014155995 || 7732.527878080004 || 105134.56801963995 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,23, ||  || Jun || 98551.02110283995 || 7120.622126709995 || 105671.64322954994 || 0.9885094078085279 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,24, ||  || Jul || 107733.1778129898 || 7900.362840399998 || 115633.5406533898 || 0.9692025718701331 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,25, ||  || Ago || 109511.38217124999 || 8593.74437106001 || 118105.12654231 || 0.8459557662155006 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,26, ||  || Sep || 114524.11853606995 || 8898.102066499987 || 123422.22060256993 || 0.8788740428034034 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,27, ||  || Oct || 122756.47880075006 || 9706.982832059997 || 132463.46163281007 || 0.9435838165373795 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,28, ||  || Nov || 122842.40727964994 || 9785.472786099992 || 132627.88006574992 || 0.8799818442299456 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,29, ||  || Dic || 134504.78112262994 || 10675.628139800008 || 145180.40926242995 || 0.8362110538799998 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,30, || 2019 || Ene || 135546.44545225002 || 10559.493052579986 || 146105.93850483 || 0.643097826535733 ||  ||  ||  ||  ||  ||  ||  ||  || 
mobile_traffic,9.1.TRAF_SENT,31, ||  || Feb || 143259.10808628998 || 11096.647179680003 || 154355.75526597 || 0.7836795712800975 ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,2, || SERVICIO DE INTERNET FIJO: ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,3, || TRÁFICO DE DATOS FIJOS (TB) POR SENTIDO DEL TRÁFICO (SUBIDA Y BAJADA). ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,9, || Año || Mes || TRÁFICO EN TERA BYTES (TB) ||  ||  || % Variación 12 meses ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,10, ||  ||  || Bajada (Downlink) || Subida (Uplink) || Total ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,11, || 2019 || Ene || 650839.3432258896 || 73755.2461126188 || 724594.5893385084 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,12, ||  || Feb || 600407.0420753796 || 67387.81138499075 || 667794.8534603703 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,13, ||  || Mar || 596281.4122981945 || 67735.1754583002 || 664016.5877564946 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,14, ||  || Abr || 633956.4620869079 || 73855.5815118403 || 707812.0435987483 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,15, ||  || May || 677524.6521964004 || 77729.33812950071 || 755253.9903259012 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,16, ||  || Jun || 705840.1379407601 || 77722.92189895012 || 783563.0598397102 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,17, ||  || Jul || 792408.468141747 || 85836.06987791901 || 878244.5380196661 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,18, ||  || Ago || 757813.5571184271 || 83371.69226383074 || 841185.2493822579 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,19, ||  || Sep || 752092.6149694745 || 85013.0610784591 || 837105.6760479336 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,20, ||  || Oct || 829827.8821280221 || 96080.91263834022 || 925908.7947663624 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,21, ||  || Nov || 783264.3191779734 || 94286.13327054956 || 877550.452448523 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,22, ||  || Dic || 815728.1347881831 || 100929.82267685968 || 916657.9574650428 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,23, || 2020 || Ene || 819368.954425308 || 99906.71768812905 || 919275.6721134371 || 0.2686758715003039 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,24, ||  || Feb || 766527.3540550107 || 97787.78225686058 || 864315.1363118712 || 0.2942824159742692 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,25, ||  || Mar || 1007699.2185066739 || 126279.89339509133 || 1133979.1119017652 || 0.7077572048811727 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,26, ||  || Abr || 1087482.799918859 || 143490.19444421006 || 1230972.994363069 || 0.7391241156400774 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,27, ||  || May || 1148509.1541617613 || 154249.7562623501 || 1302758.9104241114 || 0.7249282057575825 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,28, ||  || Jun || 1160916.234315696 || 164030.31176676962 || 1324946.5460824654 || 0.6909252286006227 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,29, ||  || Jul || 1217945.4306173692 || 162581.75239970873 || 1380527.1830170779 || 0.57191661690262 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,30, ||  || Ago || 1263013.5059820814 || 164425.85894417972 || 1427439.3649262611 || 0.6969381785695021 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_traffic,10.1.TRAF_SENT,31, ||  || Sep || 1196346.7962365665 || 155378.9146400069 || 1351725.7108765733 || 0.614761134171514 ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
