period,year,month,operator,connections,two_named_satellite_operators_total,total_fixed_market,share_of_total_fixed_pct,interpretation,source_sheet,source_row
2025-10,2025,10,Hughesnet,5025,124588,4789605,0.104915,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,200
2025-10,2025,10,Starlink,119563,124588,4789605,2.496302,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,200
2025-11,2025,11,Hughesnet,4916,121577,4787099,0.102693,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,201
2025-11,2025,11,Starlink,116661,121577,4787099,2.436987,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,201
2025-12,2025,12,Hughesnet,4769,132308,4796680,0.099423,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,202
2025-12,2025,12,Starlink,127539,132308,4796680,2.658902,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,202
2026-01,2026,1,Hughesnet,4673,141802,4817306,0.097004,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,203
2026-01,2026,1,Starlink,137129,141802,4817306,2.846591,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,203
2026-02,2026,2,Hughesnet,4536,150953,4839433,0.09373,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,204
2026-02,2026,2,Starlink,146417,150953,4839433,3.025499,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,204
2026-03,2026,3,Hughesnet,4409,161032,4862699,0.09067,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,205
2026-03,2026,3,Starlink,156623,161032,4862699,3.220907,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,205
2026-04,2026,4,Hughesnet,4199,164388,4878111,0.086078,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,206
2026-04,2026,4,Starlink,160189,164388,4878111,3.283833,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,206
2026-05,2026,5,Hughesnet,4222,168516,4882405,0.086474,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,207
2026-05,2026,5,Starlink,164294,168516,4882405,3.365022,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,207
2026-06,2026,6,Hughesnet,4146,173591,4900369,0.084606,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,208
2026-06,2026,6,Starlink,169445,173591,4900369,3.457801,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,208
