period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2021-12,2021,12,mobile_connections,mobile_connections_total,22701660,connections,8.1.CO_TEC_MOVIL,152
2021-12,2021,12,mobile_traffic,mobile_traffic_downlink_tb,334596.283152,TB,9.1.TRAF_SENT,65
2021-12,2021,12,mobile_traffic,mobile_traffic_total_tb,359263.896134,TB,9.1.TRAF_SENT,65
2021-12,2021,12,mobile_traffic,mobile_traffic_uplink_tb,24667.612982,TB,9.1.TRAF_SENT,65
2022-12,2022,12,fixed_connections,fixed_connections_total,4460212,connections,7.1.CO_TOT_FIJAS,191
2022-12,2022,12,fixed_connections,penetration_per_100_inhabitants,22.663835,per_100_inhabitants,7.1.CO_TOT_FIJAS,191
2022-12,2022,12,fixed_traffic,fixed_traffic_downlink_tb,2010226.355118,TB,10.1.TRAF_SENT,58
2022-12,2022,12,fixed_traffic,fixed_traffic_total_tb,2295742.927818,TB,10.1.TRAF_SENT,58
2022-12,2022,12,fixed_traffic,fixed_traffic_uplink_tb,285516.5727,TB,10.1.TRAF_SENT,58
2022-12,2022,12,mobile_connections,connections_2g,194266,connections,8.1.CO_TEC_MOVIL,164
2022-12,2022,12,mobile_connections,connections_3g,1165493,connections,8.1.CO_TEC_MOVIL,164
2022-12,2022,12,mobile_connections,connections_3g_4g_5g,22406826,connections,8.1.CO_TEC_MOVIL,164
2022-12,2022,12,mobile_connections,connections_4g,19201262,connections,8.1.CO_TEC_MOVIL,164
2022-12,2022,12,mobile_connections,connections_5g,2040071,connections,8.1.CO_TEC_MOVIL,164
2022-12,2022,12,mobile_connections,mobile_connections_total,22601092,connections,8.1.CO_TEC_MOVIL,164
2022-12,2022,12,mobile_traffic,mobile_traffic_downlink_tb,435965.15312,TB,9.1.TRAF_SENT,77
2022-12,2022,12,mobile_traffic,mobile_traffic_total_tb,464818.783881,TB,9.1.TRAF_SENT,77
2022-12,2022,12,mobile_traffic,mobile_traffic_uplink_tb,28853.630761,TB,9.1.TRAF_SENT,77
2023-12,2023,12,fixed_connections,fixed_connections_total,4524579,connections,7.1.CO_TOT_FIJAS,203
2023-12,2023,12,fixed_connections,penetration_per_100_inhabitants,22.81354,per_100_inhabitants,7.1.CO_TOT_FIJAS,203
2023-12,2023,12,fixed_traffic,fixed_traffic_downlink_tb,2313461.488003,TB,10.1.TRAF_SENT,70
2023-12,2023,12,fixed_traffic,fixed_traffic_total_tb,2648585.164368,TB,10.1.TRAF_SENT,70
2023-12,2023,12,fixed_traffic,fixed_traffic_uplink_tb,335123.676365,TB,10.1.TRAF_SENT,70
2023-12,2023,12,mobile_connections,connections_2g,183254,connections,8.1.CO_TEC_MOVIL,176
2023-12,2023,12,mobile_connections,connections_3g,850710,connections,8.1.CO_TEC_MOVIL,176
2023-12,2023,12,mobile_connections,connections_3g_4g_5g,22473390,connections,8.1.CO_TEC_MOVIL,176
2023-12,2023,12,mobile_connections,connections_4g,17777981,connections,8.1.CO_TEC_MOVIL,176
2023-12,2023,12,mobile_connections,connections_5g,3844699,connections,8.1.CO_TEC_MOVIL,176
2023-12,2023,12,mobile_connections,mobile_connections_total,22656644,connections,8.1.CO_TEC_MOVIL,176
2023-12,2023,12,mobile_traffic,mobile_traffic_downlink_tb,488305.212074,TB,9.1.TRAF_SENT,89
2023-12,2023,12,mobile_traffic,mobile_traffic_total_tb,520567.484797,TB,9.1.TRAF_SENT,89
2023-12,2023,12,mobile_traffic,mobile_traffic_uplink_tb,32262.272723,TB,9.1.TRAF_SENT,89
2024-12,2024,12,fixed_connections,fixed_connections_total,4690891,connections,7.1.CO_TOT_FIJAS,215
2024-12,2024,12,fixed_connections,penetration_per_100_inhabitants,23.482895,per_100_inhabitants,7.1.CO_TOT_FIJAS,215
2024-12,2024,12,fixed_traffic,fixed_traffic_downlink_tb,2495472.976803,TB,10.1.TRAF_SENT,82
2024-12,2024,12,fixed_traffic,fixed_traffic_total_tb,2877713.603801,TB,10.1.TRAF_SENT,82
2024-12,2024,12,fixed_traffic,fixed_traffic_uplink_tb,382240.626998,TB,10.1.TRAF_SENT,82
2024-12,2024,12,mobile_connections,connections_2g,93865,connections,8.1.CO_TEC_MOVIL,188
2024-12,2024,12,mobile_connections,connections_3g,817630,connections,8.1.CO_TEC_MOVIL,188
2024-12,2024,12,mobile_connections,connections_3g_4g_5g,23126835,connections,8.1.CO_TEC_MOVIL,188
2024-12,2024,12,mobile_connections,connections_4g,16202462,connections,8.1.CO_TEC_MOVIL,188
2024-12,2024,12,mobile_connections,connections_5g,6106743,connections,8.1.CO_TEC_MOVIL,188
2024-12,2024,12,mobile_connections,mobile_connections_total,23220700,connections,8.1.CO_TEC_MOVIL,188
2024-12,2024,12,mobile_traffic,mobile_traffic_downlink_tb,499728.668479,TB,9.1.TRAF_SENT,101
2024-12,2024,12,mobile_traffic,mobile_traffic_total_tb,540588.169896,TB,9.1.TRAF_SENT,101
2024-12,2024,12,mobile_traffic,mobile_traffic_uplink_tb,40859.501417,TB,9.1.TRAF_SENT,101
2025-12,2025,12,fixed_connections,fixed_connections_total,4796680,connections,7.1.CO_TOT_FIJAS,227
2025-12,2025,12,fixed_connections,penetration_per_100_inhabitants,23.866975,per_100_inhabitants,7.1.CO_TOT_FIJAS,227
2025-12,2025,12,fixed_traffic,fixed_traffic_downlink_tb,2834477.899272,TB,10.1.TRAF_SENT,94
