region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,fixed_connections_total,fixed_connections_residential,residential_share_pct,period,source_url
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,2309,2288,99.0905,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,15316,14739,96.2327,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,4372,4225,96.6377,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,6644,6428,96.7489,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,5930,5788,97.6054,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,602,584,97.01,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,1240,1210,97.5806,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,635,605,95.2756,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,2240,2220,99.1071,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,270,246,91.1111,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,18763,17088,91.0729,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,1142,1119,97.986,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,3714,3590,96.6613,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,672,655,97.4702,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,2462,2407,97.766,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,539,526,97.5881,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,926,910,98.2721,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,365,348,95.3425,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,144,128,88.8889,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,7082,6522,92.0926,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7101,Talca,68314,64108,93.8431,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7102,Constitución,8120,7751,95.4557,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7103,Curepto,388,369,95.1031,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7104,Empedrado,278,269,96.7626,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7105,Maule,10095,9816,97.2363,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7106,Pelarco,410,386,94.1463,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7107,Pencahue,588,520,88.4354,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7108,Río Claro,875,865,98.8571,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7109,San Clemente,5504,5308,96.439,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,71,Talca,7110,San Rafael,764,746,97.644,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,72,Cauquenes,7201,Cauquenes,9576,9287,96.982,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
7,Maule,72,Cauquenes,7202,Chanco,416,408,98.0769,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
