region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa
4,Coquimbo,43,Limarí,4304,Punitaqui,4463,4456,802,17.9982,2633,59.0889,4344,97.3336,1440,32.2653,911,20.4123,3468,77.7056,202,4.5261,1969,44.1183,2494,55.8817,5.0447,0.3669,29.7467,11.7238,2.8917,17.2607,38.2425,35.5974,30.2847,48.9352,5.3127,Norte
4,Coquimbo,43,Limarí,4305,Río Hurtado,1882,1879,411,21.8733,1336,71.1016,1831,97.2901,568,30.1807,103,5.4729,1448,76.9394,35,1.8597,0,0,1882,100,4.4324,0.3243,30.1064,9.9468,6.117,14.5745,100,0,30.7979,45,0,Norte
5,Valparaíso,51,Valparaíso,5101,Valparaíso,109579,108471,6001,5.5324,25808,23.7925,106334,97.0387,62516,57.0511,76028,69.3819,96374,87.9493,3701,3.3775,108963,99.4378,616,0.5622,4.5544,0.4655,47.7123,30.9211,4.2904,15.0308,32.4168,32.2265,24.6661,54.2835,4.5883,Centro
5,Valparaíso,51,Valparaíso,5102,Casablanca,10603,10507,803,7.6425,4590,43.6852,10342,97.5384,4696,44.2894,4592,43.3085,9140,86.202,982,9.2615,6649,62.7087,3954,37.2913,4.7917,0.4041,35.1855,19.2162,1.4483,15.7516,39.1518,30.585,22.0087,48.2298,5.0265,Centro
5,Valparaíso,51,Valparaíso,5103,Concón,18259,18099,494,2.7294,3723,20.5702,17974,98.4391,11944,65.4143,13797,75.5627,16595,90.8867,938,5.1372,16767,91.8287,1492,8.1713,3.3881,0.341,44.5463,34.3361,1.2516,13.4819,33.7158,29.9446,17.4892,49.2397,3.8865,Centro
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,376,372,6,1.6129,57,15.3226,368,97.8723,214,56.9149,6,1.5957,327,86.9681,308,81.9149,0,0,376,100,8.3558,0.5391,37.9679,21.3904,1.6043,10.4278,100,0,12.2995,39.3048,0,Centro
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8504,8460,654,7.7305,3589,42.4232,8285,97.4247,3891,45.7549,4003,47.072,7307,85.9243,649,7.6317,7152,84.1016,1352,15.8984,4.4572,0.3475,34.2925,17.783,1.7335,12.2759,34.941,35.5778,26.4033,48.1958,4.5519,Centro
5,Valparaíso,51,Valparaíso,5107,Quintero,13113,12974,808,6.2278,4158,32.0487,12768,97.369,5642,43.026,7695,58.6822,11307,86.2274,978,7.4582,10725,81.7891,2388,18.2109,5.9915,0.521,40.8428,21.1851,4.3061,14.4151,37.7802,32.9751,28.5539,50.5066,4.8971,Centro
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,132347,131461,5560,4.2294,28377,21.5859,129560,97.8942,82629,62.4336,96812,73.1501,118829,89.7859,5443,4.1127,132224,99.9071,123,0.0929,4.4022,0.7166,46.9485,32.1732,3.5328,14.3103,29.8238,32.7611,20.9595,52.5903,3.9326,Centro
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2077,2010,130,6.4677,1080,53.7313,1998,96.1964,1116,53.7313,147,7.0775,1830,88.1078,749,36.0616,1952,93.9817,125,6.0183,6.2893,0.387,41.1793,31.6095,0.5317,11.6965,100,0,10.9715,50.8942,0,Centro
