comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03
10307,San Pablo,103,Osorno,10,Los Lagos,8,8,5,5,26,4,0,4,3,3,10,3
10401,Chaitén,104,Palena,10,Los Lagos,7,4,6,5,22,4,0,2,4,1,7,3
10402,Futaleufú,104,Palena,10,Los Lagos,2,1,2,3,8,4,0,2,2,1,5,3
10403,Hualaihué,104,Palena,10,Los Lagos,4,8,5,3,20,4,0,1,5,1,7,3
10404,Palena,104,Palena,10,Los Lagos,1,1,1,4,7,4,0,1,1,0,2,2
11101,Coyhaique,111,Coyhaique,11,Aysén del General Carlos Ibáñez del Campo,11,28,15,20,74,4,0,6,6,5,17,3
11102,Lago Verde,111,Coyhaique,11,Aysén del General Carlos Ibáñez del Campo,0,0,2,4,6,2,0,0,2,0,2,1
11201,Aysén,112,Aysén,11,Aysén del General Carlos Ibáñez del Campo,4,11,7,17,39,4,0,4,5,5,14,3
11202,Cisnes,112,Aysén,11,Aysén del General Carlos Ibáñez del Campo,2,4,3,4,13,4,0,1,3,1,5,3
11203,Guaitecas,112,Aysén,11,Aysén del General Carlos Ibáñez del Campo,1,1,1,0,3,3,0,0,0,0,0,0
11301,Cochrane,113,Capitán Prat,11,Aysén del General Carlos Ibáñez del Campo,1,1,2,0,4,3,0,2,2,0,4,2
11302,O'Higgins,113,Capitán Prat,11,Aysén del General Carlos Ibáñez del Campo,0,0,0,0,0,0,0,0,0,0,0,0
11303,Tortel,113,Capitán Prat,11,Aysén del General Carlos Ibáñez del Campo,0,1,0,0,1,1,0,0,0,0,0,0
11401,Chile Chico,114,General Carrera,11,Aysén del General Carlos Ibáñez del Campo,3,7,3,2,15,4,0,3,2,2,7,3
11402,Río Ibáñez,114,General Carrera,11,Aysén del General Carlos Ibáñez del Campo,2,6,2,0,10,3,0,0,1,0,1,1
12101,Punta Arenas,121,Magallanes,12,Magallanes y de la Antártica Chilena,26,42,47,37,152,4,0,7,7,8,22,3
12102,Laguna Blanca,121,Magallanes,12,Magallanes y de la Antártica Chilena,1,1,1,0,3,3,0,0,1,0,1,1
12103,Río Verde,121,Magallanes,12,Magallanes y de la Antártica Chilena,0,0,2,0,2,1,0,0,2,0,2,1
12104,San Gregorio,121,Magallanes,12,Magallanes y de la Antártica Chilena,2,2,3,0,7,3,0,0,3,0,3,1
12201,Cabo de Hornos,122,Antártica Chilena,12,Magallanes y de la Antártica Chilena,0,2,1,0,3,2,0,1,1,0,2,2
12202,Antártica,122,Antártica Chilena,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0,0,0,0
12301,Porvenir,123,Tierra del Fuego,12,Magallanes y de la Antártica Chilena,1,3,4,0,8,3,0,3,3,0,6,2
12302,Primavera,123,Tierra del Fuego,12,Magallanes y de la Antártica Chilena,1,2,2,0,5,3,0,0,2,0,2,1
