"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100331202330023",-70.04060000000001,-18.581200000000003,0.72,2.806,51,3251,3550,2,1
"2100331202330133",-70.0076,-18.581200000000003,5.688,1.786,69,887,516,1,1
"2100331202331211",-69.9857,-18.5864,21.597,4.643,42,5591,869,1,1
"2100331203020023",-69.9527,-18.4145,7.237,1.93,93,952,210,1,1
"2100331203022110",-69.92519999999999,-18.4405,7.383,2.174,74,638,205,1,1
"2100331203023002",-69.91420000000001,-18.445700000000002,7.313,1.892,67,490,216,2,1
"2100331210202311",-69.5682,-18.2111,86.014,3.735,68,1328,2259,6,4
"2100331210202313",-69.5682,-18.216299999999997,95.794,4.723,72,719,590,8,2
"2100331210203003",-69.5572,-18.1954,104.336,8.863,66,765,700,4,2
"2100331210203020",-69.56269999999999,-18.2007,175.658,5.337,49,572,1229,1,1
"2100331210203021",-69.5572,-18.2007,75.396,10.148,52,386,2428,3,3
"2100331210203200",-69.56269999999999,-18.2111,321.649,35.468,59,449,1272,1,1
"2100331210300330",-69.39789999999999,-18.1798,39.58,5.335,90,891,181,3,1
"2100331210313231",-69.2825,-18.2215,13.89,3.791,89,1557,1990,1,1
"2100331211003230",-69.20009999999999,-18.0545,8.673,2.103,430,2861,3330,11,2
"2100331212230123",-69.4913,-18.581200000000003,4.164,1.104,76,1525,5480,1,1
"2100331213023030",-69.20009999999999,-18.451,16.363,4.019,71,1006,2215,5,1
"2100331213210032",-69.1562,-18.4978,12.036,3.547,69,1509,2620,1,1
"2100331213210033",-69.1507,-18.4978,11.104,4.42,69,1531,2231,5,1
"2100331220020223",-70.3043,-18.7685,40.575,15.844,25,1248,479,2,1
"2100331220022012",-70.2988,-18.7789,121.601,48.437,30,580,226,1,1
"2100331220211131",-70.1395,-18.8257,93.234,3.056,42,593,1762,1,1
"2100331220331003",-69.99660000000002,-18.9037,9.021,0.173,41,4953,,1,1
"2100331221130022",-69.69449999999999,-18.747700000000002,6.707,2.064,71,830,4354,4,1
"2100331221130200",-69.69449999999999,-18.752900000000004,10.098,3.576,63,717,2839,2,1
"2100331221130201",-69.689,-18.752900000000004,9.888,2.793,62,677,4360,2,2
"2100331230100203",-69.4254,-18.6749,90.368,0.921,90,1894,1714,1,1
"2100331230221332",-69.52969999999999,-18.934900000000003,9.892,2.102,163,1511,4359,8,1
"2100331232322220",-69.4308,-19.303400000000003,185.933,65.162,19,563,542,7,2
"2100331232322222",-69.4308,-19.3086,160.807,8.863,60,1337,1022,17,3
"2100331232322333",-69.3924,-19.3086,1.108,1.221,66,193,1220,1,1
"2100331322231331",-68.7332,-19.2619,62.611,4.855,69,958,149,7,1
"2100331322320201",-68.7222,-19.2515,12.438,5.928,81,880,175,3,1
"2100331322323222",-68.68379999999999,-19.3086,3.776,2.301,87,2147,1284,1,1
"2100333001003330",-69.8813,-19.3863,19.762,6.648,23,583,644,1,1
"2100333002311111",-69.96369999999999,-19.8106,24.531,6.009,23,2880,764,1,1
"2100333003333303",-69.6231,-19.9604,1.733,1.18,138,4477,3511,1,1
"2100333010010223",-69.5132,-19.35,230.512,7.861,95,806,194,1,1
"2100333010100000",-69.4308,-19.3137,2.619,6.802,41,3168,725,1,1
"2100333010100001",-69.4254,-19.3137,7.131,7.816,43,1485,1232,1,1
"2100333011202232",-69.2441,-19.5572,119.48,1.03,56,611,1340,1,1
"2100333011220322",-69.23310000000001,-19.598599999999998,84.718,0.913,50,1336,3811,2,1
"2100333012212331",-69.48030000000001,-19.883,0.909,3.502,44,,1053,1,1
"2100333012230221",-69.5132,-19.9243,378.506,47.061,41,359,230,1,1
"2100333012230230",-69.5078,-19.9243,264.952,85.857,50,350,175,6,1
"2100333013001331",-69.17269999999999,-19.6762,3.932,0.855,114,6323,2323,1,1
"2100333013020201",-69.24960000000002,-19.7486,4.082,4.65,63,2550,843,1,1
"2100333013130231",-68.9749,-19.7589,7.196,1.915,46,1236,3724,2,1
"2100333020213131",-70.1395,-20.1926,100.452,40.158,71,570,406,1,1
"2100333020213133",-70.1395,-20.1978,44.809,12.014,51,997,1641,5,3
"2100333020213211",-70.16139999999999,-20.202900000000003,6.348,0.335,109,2125,9297,1,1
"2100333020213213",-70.16139999999999,-20.208099999999998,111.508,14.125,38,401,1159,2,2
"2100333020213300",-70.1559,-20.202900000000003,3.294,15.307,47,3962,549,2,2
"2100333020213302",-70.1559,-20.208099999999998,52,10.274,42,1110,675,4,1
"2100333020213303",-70.1505,-20.208099999999998,49.027,15.461,50,985,1026,10,7
"2100333020213311",-70.1395,-20.202900000000003,21.165,13.419,40,2458,854,5,4
"2100333020213312",-70.14500000000001,-20.208099999999998,159.127,25.909,31,1869,868,14,4
"2100333020213313",-70.1395,-20.208099999999998,30.763,21.239,48,1537,1420,8,5
"2100333020213320",-70.1559,-20.2132,5.16,10.707,144,5496,1161,3,3
"2100333020213321",-70.1505,-20.2132,62.616,25.242,44,1288,932,34,19
"2100333020213322",-70.1559,-20.218400000000003,63.25,21.318,40,929,637,10,7
"2100333020213323",-70.1505,-20.218400000000003,56.756,17.62,45,1903,944,28,15
"2100333020213330",-70.14500000000001,-20.2132,77.936,21.872,44,1647,830,29,15
"2100333020213331",-70.1395,-20.2132,37.837,21.643,53,1894,1503,15,9
"2100333020213332",-70.14500000000001,-20.218400000000003,97.718,27.903,50,1348,605,17,10
"2100333020213333",-70.1395,-20.218400000000003,99.611,37.368,47,1844,974,38,7
"2100333020231101",-70.1505,-20.223499999999998,99.877,37.547,52,1366,363,15,7
"2100333020231110",-70.14500000000001,-20.223499999999998,93.273,32.351,47,1511,1299,20,11
"2100333020231111",-70.1395,-20.223499999999998,38.681,20.302,45,1241,1157,12,7
