"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100331221300133",-69.744,-18.830900000000003,29.195,8.021,42,203,291,2,1
"2100331221301103",-69.711,-18.8205,190.407,33.215,39,253,70,2,1
"2100331223231323",-69.79889999999999,-19.2671,190.171,24.395,54,286,104,1,1
"2100331231033311",-69.0848,-18.7945,101.564,23.388,42,473,127,3,3
"2100331231212103",-69.13969999999999,-18.862099999999998,74.493,23.609,82,99,107,1,1
"2100331232322223",-69.4254,-19.3086,23.246,21.369,40,352,56,1,1
"2100331232322333",-69.3924,-19.3086,258.199,9.566,57,113,108,1,1
"2100331322320201",-68.7222,-19.2515,202.136,19.278,42,247,84,1,1
"2100331322332221",-68.63430000000001,-19.303400000000003,114.569,15.806,66,97,74,1,1
"2100331322332320",-68.61789999999999,-19.303400000000003,28.138,23.673,42,317,226,7,1
"2100333003023000",-69.91420000000001,-19.769299999999998,194.046,33.313,58,337,88,1,1
"2100333003213333",-69.7879,-19.8881,256.211,30.798,60,119,90,1,1
"2100333010010223",-69.5132,-19.35,385.506,50.124,41,144,47,2,1
"2100333010100001",-69.4254,-19.3137,336.564,35.288,49,85,48,1,1
"2100333010230223",-69.5132,-19.598599999999998,27.152,15.479,60,503,1116,2,1
"2100333011322233",-69.06280000000001,-19.64,0.401,0.515,69,90,100,2,1
"2100333012230300",-69.49680000000001,-19.914,4.955,3.547,593,2306,734,1,1
"2100333012302022",-69.4308,-19.8675,294.255,28.365,52,127,88,1,1
"2100333013003003",-69.2056,-19.6917,156.599,15.744,55,97,93,1,1
"2100333013003101",-69.1837,-19.6866,180.212,23.54,56,198,142,29,4
"2100333020213111",-70.1395,-20.1823,163.207,13.804,50,186,95,1,1
"2100333020213133",-70.1395,-20.1978,336.746,471.302,3,150,80,5,1
"2100333020213303",-70.1505,-20.208099999999998,520.199,438.105,22,215,226,31,9
"2100333020213311",-70.1395,-20.202900000000003,273.406,250.338,25,952,881,29,10
"2100333020213312",-70.14500000000001,-20.208099999999998,492.873,470.856,14,187,119,38,9
"2100333020213313",-70.1395,-20.208099999999998,468.507,465.065,20,317,281,51,18
"2100333020213320",-70.1559,-20.2132,420.199,431.581,13,403,390,28,12
"2100333020213321",-70.1505,-20.2132,433.861,375.428,21,275,207,143,48
