region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,4486,5.1497,0.3403,27.1795,14.0468,2.3411,12.5307,36.1427,35.3846,32.0178,45.864,5.2174
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3288,5.5091,0.3714,34.4691,10.861,5.324,14.0858,38.0286,34.9559,32.2787,43.2309,5.8412
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,1777,3.7671,0.2854,27.4057,5.7963,5.4024,12.2116,100,0,28.081,42.4873,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,14864,4.9681,0.3331,32.6635,20,2.5421,15.9946,39.3392,31.8274,27.0196,51.3621,4.8483
7,Maule,71,Talca,7101,Talca,85310,4.5164,0.2623,33.8055,24.6788,2.269,15.2967,36.4278,29.7338,24.3798,50.7436,4.3779
7,Maule,71,Talca,7102,Constitución,17599,4.9614,0.3051,32.3231,18.9074,3.156,15.1589,39.256,28.4721,27.2189,45.0268,4.1871
7,Maule,71,Talca,7103,Curepto,3791,4.5079,0.2934,27.9039,8.6853,6.1246,13.1468,28.2471,44.8522,32.3918,42.8194,4.5935
7,Maule,71,Talca,7104,Empedrado,1464,4.9383,0.2743,30.417,15.6528,2.5974,12.4402,100,0,33.6979,39.0294,0
7,Maule,71,Talca,7105,Maule,20409,6.6362,0.4315,25.913,17.0842,1.1716,17.1724,49.8799,19.5304,24.2169,49.8554,3.7845
7,Maule,71,Talca,7106,Pelarco,3247,5.7662,0.1567,26.9172,7.0219,3.4801,12.9658,38.7127,35.8177,33.631,38.7127,5.3896
7,Maule,71,Talca,7107,Pencahue,3423,4.5468,0.2067,27.1266,8.8278,4.9401,13.0956,34.6682,35.3698,23.5896,38.0298,4.5016
7,Maule,71,Talca,7108,Río Claro,5132,5.837,0.2374,25.731,7.6998,2.2027,13.0604,37.5049,35.2632,29.0643,37.8558,4.6199
7,Maule,71,Talca,7109,San Clemente,16662,6.363,0.3603,26.9965,10.6221,2.8762,14.2909,39.8943,32.3946,31.3558,42.8426,4.3953
7,Maule,71,Talca,7110,San Rafael,3925,6.1277,0.5407,25.0319,8.4374,2.8804,13.8669,40.4028,32.8575,36.2223,46.3676,4.7923
7,Maule,72,Cauquenes,7201,Cauquenes,16229,5.4578,0.3056,28.8758,15.6269,4.4163,15.9975,35.6578,37.029,26.0593,51.2353,4.6325
7,Maule,72,Cauquenes,7202,Chanco,3486,5.562,0.233,26.3415,9.7848,4.132,13.5725,35.208,37.4175,29.3831,41.8364,5.1363
7,Maule,72,Cauquenes,7203,Pelluhue,3488,4.1159,0.2319,27.6406,14.3513,1.9518,11.1653,32.1757,35.9931,27.8129,46.814,3.2434
7,Maule,73,Curicó,7301,Curicó,57624,5.1668,0.3507,32.6128,22.0338,1.8946,16.0883,39.9452,28.5846,24.9682,49.8788,4.501
7,Maule,73,Curicó,7302,Hualañé,4069,4.7476,0.2999,30.9641,14.5844,4.7467,13.0595,33.4973,39.2523,29.5622,44.4663,5.7304
7,Maule,73,Curicó,7303,Licantén,2668,5.2772,0.153,34.8087,16.9542,7.3518,14.5161,33.7209,36.084,24.7937,47.5619,4.3886
7,Maule,73,Curicó,7304,Molina,17351,6.6281,0.3659,29.0289,15.9306,1.9191,16.3064,40.0578,32.0578,28.8728,50.3873,4.7861
7,Maule,73,Curicó,7305,Rauco,4073,5.9515,0.3251,30.1817,11.002,5.7711,15.3487,37.3527,34.4794,32.5884,44.6709,4.4941
7,Maule,73,Curicó,7306,Romeral,6128,6.053,0.2835,29.1183,11.3529,1.6686,15.2626,39.9477,29.3637,27.9732,47.2599,4.2369
7,Maule,73,Curicó,7307,Sagrada Familia,6735,6.0123,0.2405,27.4443,9.2273,2.8529,12.9421,38.6478,34.3982,25.0371,39.3165,5.9138
7,Maule,73,Curicó,7308,Teno,10737,5.9727,0.3223,27.4709,9.9022,3.2138,15.184,38.5841,33.1439,27.4243,44.3689,4.7788
7,Maule,73,Curicó,7309,Vichuquén,1894,4.2667,0,33.2981,11.9979,7.6638,10.9408,100,0,30.7082,40.4863,0
7,Maule,74,Linares,7401,Linares,35302,5.0728,0.3089,31.0111,18.9747,2.3156,16.8698,39.2111,32.3583,28.6129,50.9712,4.9473
7,Maule,74,Linares,7402,Colbún,8224,5.813,0.3195,25.292,10.5353,2.8954,15.7299,39.2214,34.1241,29.0876,47.7494,4.6107
7,Maule,74,Linares,7403,Longaví,12001,6.727,0.33,22.9762,8.2368,1.8174,12.8554,38.3493,34.2976,32.5719,38.4243,4.9937
7,Maule,74,Linares,7404,Parral,17047,5.4105,0.2907,27.4979,14.9994,2.2895,15.3047,37.4486,34.2257,27.4803,48.2271,4.1153
7,Maule,74,Linares,7405,Retiro,8220,5.6912,0.2208,23.4242,7.5931,2.2147,13.1297,37.2232,34.6556,30.8104,41.1292,4.0764
7,Maule,74,Linares,7406,San Javier,18078,6.2237,0.3865,25.4126,12.9084,2.8519,17.2777,39.6777,31.4764,27.9156,50.8971,4.1533
7,Maule,74,Linares,7407,Villa Alegre,6674,5.8539,0.3025,25.8765,9.8142,4.3302,15.7477,37.1292,36.0953,33.9976,47.8124,4.7048
7,Maule,74,Linares,7408,Yerbas Buenas,7105,6.459,0.3715,24.3975,8.062,3.3122,13.9112,40.0141,32.8259,30.1903,39.1825,4.6512
8,Biobío,81,Concepción,8101,Concepción,92197,3.6059,0.4252,49.6347,37.262,3.0757,13.04,28.1286,27.252,20.6328,50.1265,3.6765
8,Biobío,81,Concepción,8102,Coronel,41939,5.446,0.2809,23.9513,14.1053,2.526,16.8652,43.7985,28.4159,29.9081,49.2969,4.7726
8,Biobío,81,Concepción,8103,Chiguayante,29395,3.709,0.2288,30.1771,17.6404,3.1971,16.728,38.5019,32.8056,27.1161,51.1781,5.1685
8,Biobío,81,Concepción,8104,Florida,4956,5.1626,0.3252,25.8885,10.521,1.7165,12.7423,32.5727,37.9443,30.8562,42.9927,4.2407
8,Biobío,81,Concepción,8105,Hualqui,8824,5.5785,0.3444,29.1889,13.6472,3.3693,16.2791,42.2689,31.0267,32.3653,50.8111,4.9461
8,Biobío,81,Concepción,8106,Lota,13835,6.4732,0.3829,24.4477,9.9239,2.8251,15.632,36.7983,37.4067,36.7983,51.4741,6.2948
8,Biobío,81,Concepción,8107,Penco,16858,5.1899,0.3088,33.0026,15.3366,4.7537,16.6736,39.1467,33.4244,31.3804,51.3162,5.8114
8,Biobío,81,Concepción,8108,San Pedro de La paz,52351,4.5361,0.242,29.2899,21.7374,1.3467,16.3848,43.8975,23.5834,22.3075,51.0521,3.8203
8,Biobío,81,Concepción,8109,Santa Juana,5603,5.4624,0.3065,22.0993,10.8354,2.517,15.4945,36.3977,33.9165,31.5066,49.9821,3.5523
8,Biobío,81,Concepción,8110,Talcahuano,51086,4.8368,0.3739,33.9361,19.0179,4.0604,15.8037,37.4055,34.3052,27.1563,50.3642,5.6096
8,Biobío,81,Concepción,8111,Tomé,20751,4.6034,0.3791,28.981,14.143,2.9541,16.5758,35.9849,36.2359,32.7123,53.4633,5.2228
8,Biobío,81,Concepción,8112,Hualpén,30684,4.5997,0.3091,32.5564,20.6669,2.4975,16.7963,36.8911,33.8771,28.8264,52.0693,5.541
8,Biobío,82,Arauco,8201,Lebu,8825,4.9666,0.1959,23.1286,12.1682,1.8571,15.7457,41.905,30.8192,33.6106,49.5386,5.2752
8,Biobío,82,Arauco,8202,Arauco,13212,4.9526,0.3004,25.0739,12.1957,2.7,15.6086,40.9025,30.0721,29.7914,46.0372,4.3231
8,Biobío,82,Arauco,8203,Cañete,12568,4.8431,0.2735,24.7087,12.7853,3.0008,15.5148,41.4605,31.2849,31.2769,49.2658,4.8364
8,Biobío,82,Arauco,8204,Contulmo,2290,3.6548,0.1321,27.6661,11.9755,3.1469,13.8986,100,0,36.9755,48.4703,0
8,Biobío,82,Arauco,8205,Curanilahue,11133,4.7684,0.2366,25.4709,9.0131,6.1018,17.1429,41.1266,31.5367,27.7693,45.6963,4.6598
8,Biobío,82,Arauco,8206,Los Álamos,7997,4.7439,0.2776,23.1434,9.2674,4.7339,16.6437,42.3168,28.4158,26.1991,50.407,4.1077
8,Biobío,82,Arauco,8207,Tirúa,3609,6.4543,0.1956,22.0682,11.0618,1.5803,15.0818,45.2731,25.9218,30.9121,47.1306,4.0477
