dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,household_weight,household_weighted_n,household_weighted_pct,person_weight,person_weighted_n,person_weighted_pct,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,A14_3,Cesante [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,4500,90.0,FE_HOGAR,5062049.164,89.56784,FE_PERSONAS,12306540.827,89.10835,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_3,Cesante [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,500,10.0,FE_HOGAR,589587.838,10.43216,FE_PERSONAS,1504220.173,10.89165,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_4,Busca trabajo por 1ª vez [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,4953,99.06,FE_HOGAR,5592554.247,98.95459,FE_PERSONAS,13635386.809,98.73016,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_4,Busca trabajo por 1ª vez [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,47,0.94,FE_HOGAR,59082.755,1.04541,FE_PERSONAS,175374.191,1.26984,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_5,Estudia (en 2025) [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,3387,67.74,FE_HOGAR,3805178.249,67.32878,FE_PERSONAS,8716551.788,63.1142,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_5,Estudia (en 2025) [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,1613,32.26,FE_HOGAR,1846458.753,32.67122,FE_PERSONAS,5094209.212,36.8858,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_6,Dueña de casa [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,3522,70.44,FE_HOGAR,4002266.166,70.81605,FE_PERSONAS,9905830.734,71.72545,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_6,Dueña de casa [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,1478,29.56,FE_HOGAR,1649370.836,29.18395,FE_PERSONAS,3904930.267,28.27455,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_7,Jubilados / Pensionados / Inactivos [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],0.0,0.0,3595,71.9,FE_HOGAR,3982732.919,70.47043,FE_PERSONAS,10378635.316,75.1489,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A14_7,Jubilados / Pensionados / Inactivos [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],1.0,1.0,1405,28.1,FE_HOGAR,1668904.083,29.52957,FE_PERSONAS,3432125.684,24.8511,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",1.0,Sí,4841,96.82,FE_HOGAR,5457486.009,96.56469,FE_PERSONAS,13493523.038,97.70297,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",2.0,No,159,3.18,FE_HOGAR,194150.993,3.43531,FE_PERSONAS,317237.962,2.29703,published only when unweighted n >= 30
