source_sheet,source_row,selection_group,rbd,establishment_name,region,sponsor_name,project,selection_status,waitlist_position,source_page,source_spreadsheet
Seleccionados AC 2025,62,selected,539,COLEGIO DE ALGARROBITO,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,63,selected,543,COLEGIO ALTOVALSOL,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,64,selected,551,ESCUELA DE LAS ROJAS,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,65,selected,557,ESCUELA DE SATURNO,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,66,selected,562,COLEGIO CALETA SAN PEDRO,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,67,selected,578,LICEO BICENTENARIO DE EXCELENCIA IGNACIO CARRERA PINTO,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,68,selected,666,ESCUELA BÁSICA LUCILA GODOY ALCAYAGA,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,69,selected,673,ESCUELA JOSÉ ABELARDO NUÑEZ,DE COQUIMBO,SERVICIO LOCAL DE EDUCACIÓN DEL ELQUI,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,70,selected,701,LICEO ESTELA ÁVILA MOLINA,DE COQUIMBO,ILUSTRE MUNICIPALIDAD DE OVALLE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,71,selected,709,ESCUELA BÁSICA OSCAR ARAYA MOLINA,DE COQUIMBO,ILUSTRE MUNICIPALIDAD DE OVALLE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,72,selected,711,ESCUELA GUARDIAMARINA ERNESTO RIQUELME V.,DE COQUIMBO,ILUSTRE MUNICIPALIDAD DE OVALLE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Seleccionados AC 2025,73,selected,713,ESCUELA ARTURO VILLALÓN SIEULANNE,DE COQUIMBO,ILUSTRE MUNICIPALIDAD DE OVALLE,Aulas Conectadas 2025,SELECCIONADO,,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
