selection_group,rbd,program_establishment_name,official_establishment_name,region_code,region_name,commune_code,commune_name,rural_rbd,latitude,longitude,dependency_code,dependency_group_code,enrollment_total,establishment_state,pie_agreement,pace,sponsor_name,project,selection_status,waitlist_position,program_source,directory_source
selected,315,ESCUELA HÉROES DE LA CONCEPCIÓN,ESCUELA HEROES DE LA CONCEPCION,2,ANTOF,2101,ANTOFAGASTA,0,"-23,62591","-70,387817",1,1,516,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,317,ESCUELA LAS ROCAS,ESCUELA LAS ROCAS,2,ANTOF,2101,ANTOFAGASTA,0,"-23,589109","-70,393753",1,1,975,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,318,ESCUELA EDDA CUNEO DONNAGIO,ESCUELA EDDA CUNEO DONNAGIO,2,ANTOF,2101,ANTOFAGASTA,0,"-23,4352","-70,43364",1,1,327,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,319,ESCUELA LA BANDERA,ESCUELA LA BANDERA,2,ANTOF,2101,ANTOFAGASTA,0,"-23,599859","-70,378242",1,1,867,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,320,LICEO ARTISTICO DE ANTOFAGASTA ARMANDO CARRERA GONZÁLEZ,LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`,2,ANTOF,2101,ANTOFAGASTA,0,"-23,66744","-70,401711",1,1,934,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,322,ESCUELA GENERAL MANUEL BAQUEDANO,ESCUELA GENERAL MANUEL BAQUEDANO,2,ANTOF,2101,ANTOFAGASTA,0,"-23,6231","-70,38549",1,1,614,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,324,ESCUELA FUNDACIÓN MINERA ESCONDIDA,ESCUELA FUNDACION MINERA ESCONDIDA,2,ANTOF,2101,ANTOFAGASTA,0,"-23,618","-70,372414",1,1,490,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,326,ESCUELA SANTIAGO AMENGUAL B.,ESCUELA SANTIAGO AMENGUAL B.,2,ANTOF,2101,ANTOFAGASTA,0,"-23,627781","-70,378639",1,1,638,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,329,LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO,LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO,2,ANTOF,2101,ANTOFAGASTA,0,"-23,693741","-70,409813",1,1,657,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,330,ESCUELA DE PÁRVULOS LOS PINGUINITOS,ESCUELA DE PARVULOS LOS PINGUINITOS,2,ANTOF,2101,ANTOFAGASTA,0,"-23,59660912","-70,38334656",1,1,174,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,333,ESCUELA DE PÁRVULOS BLANCA NIEVES,ESCUELA DE PARVULOS BLANCA NIEVES,2,ANTOF,2101,ANTOFAGASTA,0,"-23,60323906","-70,37728119",1,1,192,1,1,0,CORP MUNIC DESARROLLO SOCIAL ANTOFAGASTA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
