dataset_id,reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_19,OTRO. [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_20,No le interesa [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_22,No lo necesito [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_1,"1.- No saben / no les han informado qué beneficios ofrece internet al hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_2,"2.- Conocen beneficios de internet, pero encuentran que no es útil para el hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SOND",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_3,"3.- La mayor parte del tiempo la pasamos fuera del hogar, por lo que no se justifica una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por ca",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_4,"4.- No saben utilizar el computador y/o Smartphone [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_5,"5.- No saben / no les han informado cómo utilizar internet [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra r",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_6,"6.- Falta de confianza [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_9,"9.- No hay / no sabe si hay oferta de servicios de internet en la zona donde vive [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SON",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_10,"10.- Prefiero utilizar el acceso a internet móvil (4G/5G) en lugar de tener una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_11,"11.- Puedo conectarme a internet en redes públicas o de terceros cuando lo necesito [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? S",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_12,"12.- La internet fija es más cara que la internet móvil / del teléfono móvil [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_13,"13.- Prefiero la conexión móvil del teléfono, porque la puedo usar también fuera del hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_14,"14.- Porque puedo usar la conexión móvil del teléfono para conectarme a internet con otros equipos de la casa (computador, TV, etc.) [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante b",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_15,"15.- La velocidad de internet fija no es lo suficientemente rápida para satisfacer nuestras necesidades [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por c",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_16,"16.- Tuve experiencias negativas anteriores con proveedores de servicios de internet fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o W",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_17,"17.- Pueden acceder a internet en otros lugares (por ejemplo: oficina, escuela) [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDE",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_18,"18.- Pueden conectarse a una red privada de terceros desde el hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por algu",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_19,"19.- Preocupación por aspectos de privacidad o seguridad [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra raz",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_20,"Otro [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_98,"No sabe [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_51,"Problemas económicos [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_52,"No lo necesita [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_53,"Mala señal [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_54,"No le gusta /no le interesa [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_55,"Si tiene [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_59,"Están esperando que le instale [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_60,"Esta incluido en la casa que artiendan no lo pagan ellos [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra raz",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_61,"Se cambia de casa [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM]",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P19_1,P19_1 .- ¿Cuánto es lo máximo que estaría dispuesto a pagar por alguno de estos servicios de internet mensualmente? Banda Ancha Fija desnuda (sin TV cable o Telefonía fija),72,12,98.56,True
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P19_2,P19_2 .- ¿Cuánto es lo máximo que estaría dispuesto a pagar por alguno de estos servicios de internet mensualmente? Banda Ancha Fija + TV Cable,72,14,98.56,True
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P19_3,P19_3 .- ¿Cuánto es lo máximo que estaría dispuesto a pagar por alguno de estos servicios de internet mensualmente? Banda Ancha Fija + Telefonía Fija,72,11,98.56,True
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P19_4,P19_4 .- ¿Cuánto es lo máximo que estaría dispuesto a pagar por alguno de estos servicios de internet mensualmente? Banda Ancha Fija + TV Cable + Telefonía Fija,72,12,98.56,True
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",5000,2,0.0,True
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P4_3,"Internet Móvil Con Plan O Bolsa De Gigas/Megas De Un Teléfono Móvil [Smartphone] O Tablet (3G, 4G, 5G [P4.- ¿Dispone usted de alguna o algunas de las siguientes FORMAS DE ACCESO PAGADA para conectarse a Internet en SU HOGAR?]",5000,2,0.0,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36,Q36.- ¿Por qué no le interesa?,5000,49,0.0,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",4841,20,3.18,True
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_1,NET NO SE MAJENA TECNOLOGICAMENTE [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_3,NET POR EDAD [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_4,Por la edad [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_5,NET NO LE GUSTA [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
