reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025,XII,education_learning,3,Q21_46,"39. realizar estudios, cursos o capacitación en línea (e-learning). [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,education_learning,2,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",5000,11,0.0,True
2025,XII,education_learning,2,Q1_3,Q1.3.- ¿Cuál fue el último curso y tipo de estudio aprobado por Usted?,5000,11,0.0,True
2025,XII,education_learning,2,Q6_3,"Era parte central de mi aprendizaje en el colegio, liceo, institución de educación superior (ej: parte del currículum de enseñanza de secretariado, contabilidad, ing. Informática, etc.) [Q6.- Respecto del uso del computador, ¿cómo aprendió a hacer uso de é",5000,2,0.0,False
2025,XII,education_learning,2,Q21_5,"4. obtener información para realizar tareas/informes de algún curso, materia o capacitación [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,education_learning,2,Q1_3_1,Q1.3.- ¿Cuál fue el último curso y tipo de estudio aprobado por Usted?,3000,1,40.0,True
2025,XII,education_learning,2,Q1_4_1,Q1.3.- ¿Cuál fue el último curso y tipo de estudio aprobado por Usted?,3000,1,40.0,True
2025,XII,education_learning,1,A14_5,Estudia (en 2025) [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],5000,2,0.0,False
2025,XII,fixed_mobile_mode,2,P12_11,"SÍ, 4G [P12.- ¿Alguna o algunas de las conexiones de Banda ancha móvil o internet móvil para conectarse desde teléfono o Tablet a Internet, tiene sistema 4G o  5G? ]",4343,2,13.14,False
2025,XII,fixed_mobile_mode,2,P12_21,"Sí, 5G [P12.- ¿Alguna o algunas de las conexiones de Banda ancha móvil o internet móvil para conectarse desde teléfono o Tablet a Internet, tiene sistema 4G o  5G? ]",4343,2,13.14,False
2025,XII,fixed_mobile_mode,2,P12_31,"NO, ninguna de las dos [P12.- ¿Alguna o algunas de las conexiones de Banda ancha móvil o internet móvil para conectarse desde teléfono o Tablet a Internet, tiene sistema 4G o  5G? ]",4343,2,13.14,False
2025,XII,fixed_mobile_mode,2,P12_41,"No sabe [P12.- ¿Alguna o algunas de las conexiones de Banda ancha móvil o internet móvil para conectarse desde teléfono o Tablet a Internet, tiene sistema 4G o  5G? ]",4343,2,13.14,False
2025,XII,fixed_mobile_mode,2,P13_8,"8.- Costo del servicio de internet fijo (por cable/fibra o WiFi) es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDE",1645,2,67.1,False
2025,XII,fixed_mobile_mode,2,P13_10,"10.- Prefiero utilizar el acceso a internet móvil (4G/5G) en lugar de tener una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra",1645,2,67.1,False
2025,XII,fixed_mobile_mode,2,P13_12,"12.- La internet fija es más cara que la internet móvil / del teléfono móvil [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR",1645,2,67.1,False
2025,XII,fixed_mobile_mode,1,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",5000,2,0.0,True
2025,XII,geography_commune,1,COMUNA_DEF,,5000,90,0.0,True
2025,XII,geography_region,1,COD_REGION,,5000,16,0.0,True
2025,XII,geography_urban_rural,1,ZONA,ZONA,5000,2,0.0,True
2025,XII,geography_urban_rural,1,Q8_1,"1.- Uso de procesador de texto (ej: Word) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,geography_urban_rural,1,Q8_2,"2.- Realización de fórmulas sencillas en planillas de cálculo (ej: Excel) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,geography_urban_rural,1,Q8_3,"3.- Uso de software de presentación (ej: diapositivas, PowerPoint, etc.) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,geography_urban_rural,1,Q8_4,"4.- Duplicar o transferir archivos entre dispositivos (cámaras digitales, celulares, reproductores de música) o en la nube [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,geography_urban_rural,1,Q8_5,"5.- Conectar un nuevo dispositivo (como un router, cámara o impresora) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,geography_urban_rural,1,Q8_6,"6.- Encontrar, descargar e instalar y configurar aplicaciones (Apps) y/o programas (softwares) desde internet [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realizar por usted mismo?]",4758,2,4.84,False
2025,XII,geography_urban_rural,1,Q8_7,"7.- Modificar configuraciones de seguridad del computador, smartphone, navegadores de Internet (Chrome, Explorer, Firefox, etc.) o aplicaciones (Apps) [Q8. Pensando en el uso del computador y o smartphone, ¿Cuál o cuáles de estas tareas es capaz de realiza",4758,2,4.84,False
2025,XII,household_access,4,P13_10,"10.- Prefiero utilizar el acceso a internet móvil (4G/5G) en lugar de tener una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra",1645,2,67.1,False
2025,XII,household_access,4,P13_14,"14.- Porque puedo usar la conexión móvil del teléfono para conectarme a internet con otros equipos de la casa (computador, TV, etc.) [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante b",1645,2,67.1,False
2025,XII,household_access,3,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",5000,2,0.0,True
2025,XII,household_access,3,P4_4,Conexión Satelital [P4.- ¿Dispone usted de alguna o algunas de las siguientes FORMAS DE ACCESO PAGADA para conectarse a Internet en SU HOGAR?],5000,2,0.0,False
2025,XII,household_access,3,Q12_4,"Conexión Satelital [Q12.- Qué tipo de acceso a Internet ha utilizado en los últimos 3 meses, tanto dentro como fuera del hogar? ¿Algún otro? ]",4731,2,5.38,False
2025,XII,household_access,3,P13_1,"1.- No saben / no les han informado qué beneficios ofrece internet al hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿",1645,2,67.1,False
2025,XII,household_access,3,P13_2,"2.- Conocen beneficios de internet, pero encuentran que no es útil para el hogar [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SOND",1645,2,67.1,False
2025,XII,household_access,3,P13_3,"3.- La mayor parte del tiempo la pasamos fuera del hogar, por lo que no se justifica una conexión fija [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por ca",1645,2,67.1,False
2025,XII,indigenous,2,A12_11,Aymara [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],5000,2,0.0,False
