dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,weighted_n,pct_weighted,weight_variable,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,P3_1,"P3_1 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador fijo (PC, DESKTOP)",2.0,No,4039,83.43317,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_1,"P3_1 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador fijo (PC, DESKTOP)",1.0,Sí,801,16.54617,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_2,P3_2 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador portátil (notebook / laptop o netbook),2.0,No,2059,42.53253,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_2,P3_2 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador portátil (notebook / laptop o netbook),1.0,Sí,2778,57.38484,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_3,"P3_3 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Tablet (Ipad, Galaxy TAB, Xperia Tablet, HP palm touchpad, etc.)",2.0,No,3734,77.13282,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_3,"P3_3 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Tablet (Ipad, Galaxy TAB, Xperia Tablet, HP palm touchpad, etc.)",1.0,Sí,1097,22.66061,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_4,"P3_4 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Teléfono móvil o Smartphone (Iphone, Samsung, Xiaomi, Galaxy, LG, etc.)",1.0,Sí,4794,99.02913,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_4,"P3_4 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Teléfono móvil o Smartphone (Iphone, Samsung, Xiaomi, Galaxy, LG, etc.)",2.0,No,47,0.97087,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_5,"P3_5 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Consola de juegos (WII, Nintendo, PS-3, PS-4, PS-5, XBOX,etc.)",2.0,No,3865,79.83888,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_5,"P3_5 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Consola de juegos (WII, Nintendo, PS-3, PS-4, PS-5, XBOX,etc.)",1.0,Sí,963,19.89258,,,,published only when unweighted n >= 30
